city,neighbourhood,total_crimes,violent_pct,property_pct,avg_hour,night_pct,cluster,risk_level
Vancouver,Marpole,8513,5.697169035592623,74.29813226829555,12.414190062257724,24.397979560671914,0,Medium Risk
Vancouver,Mount Pleasant,22736,4.956896551724138,78.259148486981,12.752243138634764,21.39338494018297,0,Medium Risk
Vancouver,Musqueam,288,37.84722222222222,36.11111111111111,7.927083333333333,51.041666666666664,1,Low Risk
Vancouver,Oakridge,4324,5.087881591119333,79.25531914893617,12.430157261794635,22.47918593894542,0,Medium Risk
Vancouver,Renfrew-Collingwood,19490,4.710107747562853,80.4617752693689,13.319445869676757,18.122113904566444,0,Medium Risk
Vancouver,Riley Park,7751,4.425235453489872,78.33827893175074,12.756676557863502,23.906592697716427,0,Medium Risk
Vancouver,Shaughnessy,3282,4.296160877513711,75.28945764777575,12.330591102985984,25.472273004265695,0,Medium Risk
Vancouver,South Cambie,3491,4.325408192494987,80.69321111429389,12.728731022629619,21.99942709825265,0,Medium Risk
Vancouver,Stanley Park,1534,7.301173402868318,76.01043024771839,12.583441981747066,14.537157757496741,0,Medium Risk
Vancouver,Strathcona,22942,10.456804114724088,66.3106965390986,11.410557056926162,28.454363176706476,0,Medium Risk
Vancouver,Sunset,10398,6.155029813425659,73.42758222735142,12.702538949798038,22.9178688209271,0,Medium Risk
Vancouver,Victoria-Fraserview,5844,6.451060917180014,72.2621492128679,12.317761806981519,26.3347022587269,0,Medium Risk
Vancouver,West End,28263,7.578813289459719,77.83674769132789,12.429678378091499,24.250787248345894,0,Medium Risk
Vancouver,West Point Grey,3394,4.979375368296995,77.01826753093695,12.698880377136122,24.071891573364763,0,Medium Risk
